acs,species,trt,hyp,int1,int2,int3,int4
LA2580,S. pennellii,H,19.46,2.37,1.59,1.87,0.51
LA1305,S. peruvianum,H,31.28,3.34,0.01,9.19,1.62
LA1973,S. peruvianum,H,56.65,8.43,2.39,6.7,3.69
LA2748,S. chilense,H,35.18,0.56,0,1.6,0.61
LA2931,S. chilense,H,35.32,0.82,0.02,1.49,0.46
LA1317,S. chmielewskii,H,28.74,1.07,6.69,5.72,4.76
LA1918,S. habrochaites,H,33.07,2.85,0.41,3.79,3.25
LA3788,S. pennellii,H,42.13,2.08,0.53,1.9,NA
LA1336,S. peruvianum,H,32.7,5.43,0.81,3.63,2.66
LA3795,S. peruvianum,H,34.32,4.08,3.26,3.49,3.02
LA2773,S. chilense,H,28.22,0.51,0.08,0.57,NA
LA1028,S. chmielewskii,H,29.77,0.11,2.25,5.17,3.21
LA1318,S. chmielewskii,H,32.72,2.75,3.47,2.26,NA
LA1361,S. habrochaites,H,31.53,2.95,3.31,6.91,7.29
LA1928,S. habrochaites,H,41.03,1.69,0.04,3.66,2.54
LA1912,S. pennellii,H,33.64,1.27,1.76,2.36,1.37
LA3791,S. pennellii,H,22.82,0.4,1.31,1.12,NA
LA1474,S. peruvianum,H,48.1,1.97,4.6,5.62,1.62
LA1958,S. chilense,H,51.83,1.75,0.4,1.58,3.12
LA2884,S. chilense,H,32.94,0.59,0.17,0.6,0.43
LA1306,S. chmielewskii,H,27.71,1.2,1.71,4.73,1.89
LA2663,S. chmielewskii,H,30.68,1.12,6.77,4.55,2.16
LA1363,S. habrochaites,H,35.54,5.04,3.41,10.13,5.22
LA2167,S. habrochaites,H,35.61,2.66,3.42,5.78,3.51
LA2560,S. pennellii,H,22.42,1.6,0.64,3.65,0.98
LA446,S. peruvianum,H,37.14,3.88,0.19,4.6,3.2
LA1954,S. peruvianum,H,37.87,6.97,4.1,6.95,4.15
LA1969,S. chilense,H,23.82,0.01,0,0.44,0.22
LA2891,S. chilense,H,29.75,3.25,0.01,2.98,2.88
LA1316,S. chmielewskii,H,48.18,0.75,1.8,4.86,NA
LA2695,S. chmielewskii,H,33.93,3.01,3.83,4.67,NA
LA1691,S. habrochaites,H,26.85,3.11,0.63,2.64,2.21
LA2204,S. habrochaites,H,28.76,1.21,1.79,3.76,NA
LA2580,S. pennellii,H,24.1,1.27,2.13,1.17,0.42
LA1305,S. peruvianum,H,18.96,0.54,2.08,3.06,1.12
LA1973,S. peruvianum,H,30.29,2.67,4.01,6.05,5.76
LA2748,S. chilense,H,24.67,1.74,0.01,3.59,5.09
LA2931,S. chilense,H,31.65,0.54,0.41,1.81,2.61
LA1317,S. chmielewskii,H,35.64,3.03,5.88,10.7,6.72
LA361,S. habrochaites,H,27.14,6.06,4.81,8.29,4.89
LA1918,S. habrochaites,H,31.95,3.82,0.06,4.04,2.45
LA1367,S. pennellii,H,15.62,0.09,2.13,2.72,NA
LA3788,S. pennellii,H,12.55,1.74,1.18,1.13,NA
LA1336,S. peruvianum,H,31.66,3.91,3.3,3.25,NA
LA3795,S. peruvianum,H,44.43,3.24,0.26,4.59,1.54
LA2773,S. chilense,H,32.16,0.24,0.04,3,1.69
LA1028,S. chmielewskii,H,33.44,0.71,2.52,3.84,3.01
LA1318,S. chmielewskii,H,33.27,2.16,3.7,2.54,NA
LA1361,S. habrochaites,H,36.68,4.86,5.62,2.92,NA
LA1928,S. habrochaites,H,35.11,2.4,1.49,4.09,2.76
LA1912,S. pennellii,H,27.38,2.22,0.98,2.6,1.39
LA3791,S. pennellii,H,28.79,0.01,0.01,0.5,1.02
LA1474,S. peruvianum,H,33.6,0.06,0.22,0.1,NA
LA1958,S. chilense,H,49,3.01,0.14,2.64,3.09
LA2884,S. chilense,H,40.07,2.59,0.33,3.46,4.17
LA1306,S. chmielewskii,H,28.58,0.22,3.02,3.54,2.86
LA2663,S. chmielewskii,H,20.79,1.61,5.95,4.3,2.9
LA1363,S. habrochaites,H,33.89,4.6,5.63,3.57,7.28
LA2167,S. habrochaites,H,34.04,1.23,1.57,4.75,3.09
LA446,S. peruvianum,H,42.59,3.34,1.86,4.5,3.84
LA1954,S. peruvianum,H,45.15,6.8,6.13,6.17,4.32
LA1969,S. chilense,H,24.82,0.62,0.04,1.84,0.84
LA2891,S. chilense,H,27.46,2.7,1.05,4.04,NA
LA1316,S. chmielewskii,H,50.15,4.63,3.24,4.57,4.09
LA2695,S. chmielewskii,H,33.47,1.62,2.99,3.03,NA
