shelf,flat,col,row,acs,trt,days,date,hyp,int1,int2,int3,int4,petleng,leafleng,leafwid,leafnum,ndvi,lat,lon,alt,species,who
Z,1,B,1,LA2580,H,28,5/5/08,19.46,2.37,1.59,1.87,0.51,15.78,30.53,34.44,5,111,-9.5167,-78.0083,740,S. pennellii,Dan
Z,1,C,1,LA1305,H,28,5/5/08,31.28,3.34,0.01,9.19,1.62,12.36,22.93,13.99,4,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
Z,1,D,1,LA1973,H,28,5/5/08,56.65,8.43,2.39,6.7,3.69,13.05,46.71,43.78,5,110,-16.2333,-71.7,2585,S. peruvianum,Dan
Z,1,E,1,LA2748,H,28,5/5/08,35.18,0.56,0,1.6,0.61,8.08,26.82,33.28,5,105,-20.4833,-69.9833,1020,S. chilense,Dan
Z,1,F,1,LA2931,H,28,5/5/08,35.32,0.82,0.02,1.49,0.46,7.68,22.4,23.61,5,106,-20.9167,-69.0667,2460,S. chilense,Dan
Z,1,G,1,LA1317,H,28,5/5/08,28.74,1.07,6.69,5.72,4.76,23.66,42.35,42.35,5,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
Z,1,I,1,LA1918,H,28,5/5/08,33.07,2.85,0.41,3.79,3.25,14.86,29.4,25.22,5,118,-14.2667,-74.9167,2920,S. habrochaites,Dan
Z,1,B,2,LA3788,H,28,5/5/08,42.13,2.08,0.53,1.9,,19.71,39.42,35.68,4,112,-16.1383,-73.6428,480,S. pennellii,Dan
Z,1,C,2,LA1336,H,28,5/5/08,32.7,5.43,0.81,3.63,2.66,7.73,28.75,26.54,5,107,-16.2094,-73.6222,75,S. peruvianum,Dan
Z,1,D,2,LA3795,H,28,5/5/08,34.32,4.08,3.26,3.49,3.02,10.21,33.82,23.06,5,123,-10.15,-77.35,3540,S. peruvianum,Dan
Z,1,E,2,LA2773,H,28,5/5/08,28.22,0.51,0.08,0.57,,3.72,17.57,15.41,4,115,-18.2667,-69.5833,3260,S. chilense,Dan
